time_s,x_m,y_m,dist_to_goal_m
17.08,-0.0304,0.066,3.4099
17.107,-0.0307,0.0657,3.4103
17.139,-0.0294,0.0674,3.4084
17.175,-0.0295,0.0673,3.4085
17.197,-0.0286,0.0686,3.407
17.252,-0.0284,0.0689,3.4068
17.277,-0.0283,0.0691,3.4066
17.293,-0.0283,0.0693,3.4064
17.328,-0.0283,0.0694,3.4065
17.355,-0.0285,0.069,3.4068
17.403,-0.0285,0.069,3.4068
17.429,-0.0286,0.0688,3.407
17.456,-0.0286,0.0687,3.407
17.472,-0.0286,0.0687,3.407
17.513,-0.0285,0.0688,3.4069
17.557,-0.0285,0.0687,3.407
17.59,-0.0286,0.069,3.4068
17.61,-0.0285,0.069,3.4068
17.648,-0.0286,0.069,3.4069
17.689,-0.0286,0.069,3.4069
17.725,-0.0286,0.0688,3.407
17.78,-0.0286,0.0688,3.407
17.801,-0.0285,0.0688,3.4069
17.822,-0.0285,0.0688,3.4069
17.85,-0.0283,0.0686,3.4068
17.873,-0.0269,0.0685,3.4056
17.894,-0.0281,0.0685,3.4067
17.929,-0.0259,0.0691,3.4044
17.956,-0.0259,0.0687,3.4046
17.976,-0.0267,0.0693,3.4051
18.05,-0.0259,0.0693,3.4044
18.071,-0.0278,0.07,3.4057
18.096,-0.0276,0.0702,3.4055
18.119,-0.0282,0.0692,3.4065
18.195,-0.0282,0.0692,3.4065
18.22,-0.0286,0.0696,3.4067
18.26,-0.0286,0.0695,3.4067
18.286,-0.0288,0.0697,3.4067
18.329,-0.0289,0.0697,3.4068
18.357,-0.029,0.0697,3.4069
18.386,-0.0289,0.0697,3.4068
18.417,-0.029,0.0696,3.4069
18.458,-0.029,0.0696,3.4069
18.5,-0.0288,0.0697,3.4068
18.525,-0.0289,0.0697,3.4068
18.553,-0.0289,0.0697,3.4068
18.606,-0.0289,0.0697,3.4068
18.627,-0.029,0.0697,3.4069
18.662,-0.029,0.0696,3.4069
18.679,-0.029,0.0697,3.4069
18.703,-0.0289,0.0696,3.4069
18.737,-0.0289,0.0696,3.4069
18.774,-0.0289,0.0696,3.4069
18.807,-0.0289,0.0696,3.4069
18.836,-0.029,0.0696,3.4069
18.867,-0.029,0.0696,3.4069
18.9,-0.029,0.0696,3.407
18.944,-0.029,0.0696,3.407
18.978,-0.029,0.0696,3.4069
18.998,-0.029,0.0696,3.4069
19.024,-0.0289,0.0695,3.4069
19.08,-0.0289,0.0695,3.4069
19.103,-0.029,0.0696,3.407
19.118,-0.029,0.0696,3.4069
19.153,-0.029,0.0696,3.4069
19.191,-0.029,0.0695,3.407
19.214,-0.029,0.0696,3.4069
19.249,-0.0289,0.0695,3.407
19.297,-0.0289,0.0695,3.407
19.363,-0.029,0.0695,3.407
19.382,-0.0289,0.0695,3.407
