run,index,kind,category,command_id,target,progress,status,start_unix,end_unix,elapsed_s,observed_nonzero_command_s,observed_zero_command_s,unclassified_macro_s,mean_progress_per_macro_s,first_zero_command_elapsed_s,correction_restarts,command_near_0p5_s,translation_nonzero_ticks,translation_with_yaw_correction_ticks,measured_moving_twist_median_mps,measured_turn_rate_median_radps,matched_moving_twist_samples,command_receipt_to_start_s,terminal_to_result_receipt_s
original5/full-goal-3-006,36,rotate,observation_or_alignment_turn,rotate,0.5239446203553593,0.5478641349981528,OK,1789300293.6546893,1789300296.6582186,3.003529289000653,1.4512058319996868,1.5095520610002495,0.04277139600071678,0.1824067895740216,1.4939772280004036,0,0.0,0,0,,0.3685814440250397,0,,
original5/full-goal-3-006,37,rotate,observation_or_alignment_turn,rotate,-1.0727229515595984,-1.0513595492823367,OK,1789300297.667312,1789300301.9555244,4.288212467999983,2.9521156820001124,1.3023512879999544,0.03374549799991655,0.2451743138027602,2.985861180000029,0,0.0,0,0,,0.3692401948085757,0,,
original5/full-goal-3-006,38,rotate,observation_or_alignment_turn,rotate,0.4956892801379456,0.48596142088487926,OK,1789300303.6500826,1789300311.9584649,8.30838220699934,2.7647273230013525,5.543503580998731,0.0001513029992565862,0.05849049896566919,1.6969258119997903,6,0.0,0,0,,0.28655609488487244,0,,
original5/full-goal-3-006,39,translate,look_forward_20cm,pixnav-ec36b1b3872beab5c2f4a6f2-step-0,0.20000000298023224,0.20859029820920147,OK,1789300318.3770883,1789300319.6093643,1.2322758469999826,0.8992407739997361,0.31066809999992984,0.022366973000316648,0.16927240659388207,0.9216077470000528,0,0.04420406600002025,18,5,0.21799621775864786,,18,-0.00019073486328125,0.008850812911987305
original5/full-goal-3-006,40,translate,look_forward_20cm,pixnav-cdce06c24794144b3424eeb8-step-1,0.20000000298023224,0.20154547439890722,OK,1789300319.8294816,1789300321.302074,1.4725924290005423,0.9999360990004789,0.45436910100033856,0.018287228999724903,0.1368643967127397,1.0182233280002038,0,0.09777071400003479,20,20,0.22595978505687803,,20,-0.002822399139404297,0.025135040283203125
original5/full-goal-3-006,41,translate,look_forward_20cm,pixnav-bd8336b9c552ea5a88a4b368-step-2,0.20000000298023224,0.2081567575051465,OK,1789300321.516012,1789300322.802016,1.286004112000228,0.9996613879993674,0.2535541730003388,0.03278855100052169,0.1618632130043373,1.0324499389998891,0,0.10574817700035055,20,20,0.18698873600317795,,20,-0.01314997673034668,0.012822866439819336
original5/full-goal-3-006,42,translate,forward,pixnav-e647d486e31b747f38646a42-step-3,0.25,0.24797277384675395,OK,1789300323.025304,1789300324.4672523,1.441948142000001,1.0989195849997486,0.31993761400008225,0.023090943000170228,0.1719706601256911,1.1220105279999188,0,0.23796815799960314,22,22,0.28028109037308957,,22,0.0011091232299804688,0.01510167121887207
original5/full-goal-3-006,43,translate,look_forward_20cm,pixnav-8e8b6023448374b16324a147-step-0,0.20000000298023224,0.20132266383170966,OK,1789300324.785993,1789300326.2018821,1.4158889489999638,0.9938623759999246,0.39927759900001547,0.022748974000023736,0.1421881737080461,1.0166113499999483,0,0.09979035899959854,20,20,0.24037262174042692,,20,-0.0010828971862792969,0.03508877754211426
original5/full-goal-3-006,44,rotate,policy_turn,pixnav-91541e25d4699710cb815bc1-step-1,0.5235987755982988,0.5290659909739814,OK,1789300326.4325242,1789300328.4177554,1.9852312650000385,1.35144625599969,0.6181456490003256,0.01563936000002286,0.26650093634001437,1.367085615999713,0,0.0,0,0,,0.3568635582923889,0,0.006409168243408203,0.019870519638061523
original5/full-goal-3-006,45,translate,forward,pixnav-094f9d8a353af7f4aa45f162-step-2,0.25,0.2678497683517385,OK,1789300328.6727707,1789300330.0607817,1.3880110310001328,1.1004881029994067,0.2605667160005396,0.026956212000186497,0.19297380378795628,1.1274443149995932,0,0.2506415460002245,22,14,0.25074424229266834,,22,-0.00035834312438964844,0.006899356842041016
original5/full-goal-3-006,46,translate,look_forward_20cm,pixnav-2326de49aa6be528ee4dd853-step-0,0.20000000298023224,0.20931904329747703,OK,1789300334.866279,1789300336.0488377,1.1825587989997075,0.9444913890001772,0.20058542500009935,0.037481984999431006,0.1770051886422341,0.9819733739996082,0,0.04738821099999768,19,19,0.2393105083775279,,19,0.005029916763305664,0.02045440673828125
original5/full-goal-3-006,47,translate,look_forward_20cm,pixnav-b9ed15b5c4ba923a000de85d-step-1,0.20000000298023224,0.20409467255053748,OK,1789300336.3047707,1789300337.7036583,1.398887575000117,0.9924091519997091,0.4056507360000978,0.0008276870003101067,0.1458978378234008,0.9932368390000192,0,0.10427299499951914,20,20,0.21791761176714555,,20,0.009197711944580078,0.043259620666503906
original5/full-goal-3-006,48,translate,forward,pixnav-8809aeb42a4b037329568c09-step-2,0.25,0.26115302080279856,OK,1789300337.947939,1789300339.4025679,1.4546289950003484,1.1966817129996343,0.2552376510002432,0.0027096310004708357,0.17953239052734268,1.1993913440001052,0,0.24359457700029452,24,24,0.20897431446156753,,24,0.023720979690551758,0.007756233215332031
original5/full-goal-3-006,49,translate,look_forward_20cm,pixnav-7efb0545e565e5a88b7743a6-step-3,0.20000000298023224,0.207863750963798,OK,1789300339.5624907,1789300340.9084268,1.345936134999647,0.9531936279990987,0.35614434000035544,0.036598167000192916,0.1544380491455135,0.9897917949992916,0,0.05346299099983298,19,19,0.21908771858516865,,19,0.0011637210845947266,0.020220279693603516
original5/full-goal-3-006,50,rotate,observation_or_alignment_turn,rotate,-0.756519110852738,-0.7945638922749869,OK,1789300341.0746262,1789300349.1566427,8.08201649700004,2.709644606000438,5.347490594000192,0.02488129699941055,0.09831257985799963,2.073587562999819,1,0.0,0,0,,0.37235178834779814,0,,
original5/full-goal-3-006,51,rotate,observation_or_alignment_turn,rotate,0.5526588898076209,0.5798870604440145,OK,1789300349.64004,1789300354.061138,4.4210980790003305,2.200467361999472,2.2112462450004386,0.009384472000419919,0.13116358200656222,1.9575860539998757,1,0.0,0,0,,0.2759744149308519,0,,
original5/full-goal-3-006,52,rotate,observation_or_alignment_turn,rotate,-1.0737830894105318,-1.0736057273492816,OK,1789300355.6518164,1789300365.2022998,9.55048356900079,3.6941179949999423,5.8092338610003935,0.0471317130004536,0.11241375576353216,2.895958184000847,2,0.0,0,0,,0.39738081802240066,0,,
original5/full-goal-3-006,53,rotate,observation_or_alignment_turn,rotate,1.2805636996175163,1.3000315345505744,MOTION_TIMEOUT,1789300365.6411977,1789300384.4047122,18.76351447399975,5.009003326999846,13.74745414500012,0.007057001999783097,0.0692850764366134,3.420057368000016,10,0.0,0,0,,0.3443320027803738,0,,
original5/full-goal-3-008,0,rotate,observation_or_alignment_turn,rotate,0.5235987755982988,0.5651377842782752,OK,1789303689.6582031,1789303691.9525213,2.2943181240007107,1.0995739000009053,1.1688550889994076,0.0258891350003978,0.24632058578381355,1.125463035001303,0,0.0,0,0,,0.4782925526913513,0,,
original5/full-goal-3-008,1,rotate,observation_or_alignment_turn,rotate,-1.0691682307155879,-1.0624404804748042,OK,1789303693.530152,1789303696.738335,3.2081827059992065,1.9567716720011958,1.247801013998469,0.0036100199995416915,0.3311658274599112,1.9603816920007375,0,0.0,0,0,,0.5379585027694702,0,,
original5/full-goal-3-008,2,rotate,observation_or_alignment_turn,rotate,0.4462101106397408,0.42299901622759517,OK,1789303697.5336123,1789303699.3041308,1.7705186270013655,0.7485907579994091,1.0209467140011839,0.00098115500077256,0.23891249138903803,0.7495719130001817,0,0.0,0,0,,0.6372556001886368,0,,
